Index,Sampling_date,Ref_lab,VialCodi,Exp,Plot,Chamber_opacity,Year,Month,Day,Tr1,Tr2,Rep,chamber number,Sampler,Code,Water_level_cm,Temp_soil,Rice_cover_prop,Env_temp_initial,Env_temp_final,Sample_time,Sample_hour,Sample_time_min ,CCH4_ppm,CCO2_ppm,NN2O_ppm,Chamber_temp
1,6/7/2023,P08_T0_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T0,12:38:38,0,1.29,84.4751,1.043,25.8
2,6/7/2023,P08_T1_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T1,12:52:00,10,1.4025,70.2259,1.0558,26.1
3,6/7/2023,P08_T2_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T2,13:02:00,20,1.47,57.73,1.043,26.5
4,6/7/2023,P08_T3_07-06-23,,CER,P08,TRA,2023,6,7,CON,,3,2,MME,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:7_M:6_Y:2023,11,23.7,0.25,26,26,T3,13:12:00,30,1.5225,46.6844,1.043,26.6
9,6/7/2023,P02_T0_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T0,11:24:30,0,1.2375,76.8345,1.679,24.9
10,6/7/2023,P02_T1_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T1,11:34:30,10,1.2375,78.515,1.3865,25.9
11,6/7/2023,P02_T2_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T2,11:44:30,20,1.335,60.326,1.2974,26.6
12,6/7/2023,P02_T3_07-06-23,,CER,P02,TRA,2023,6,7,MSD,,1,2,MME,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:7_M:6_Y:2023,10,23.4,0.15,24.5,26,T3,11:54:30,30,1.3275,66.2751,1.3801,26.6
13,6/7/2023,P04_T0_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T0,12:01:38,0,1.335,91.6146,1.2847,25.8
14,6/7/2023,P04_T1_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T1,12:11:38,10,1.305,71.9752,1.2529,27.3
15,6/7/2023,P04_T2_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T2,12:21:38,20,1.2825,55.2854,1.1893,27.7
16,6/7/2023,P04_T3_07-06-23,,CER,P04,TRA,2023,6,7,MSD,,2,2,MME,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:7_M:6_Y:2023,11,23.7,0.2,26.2,26,T3,12:31:38,30,1.4325,38.2957,2.1115,27.2
17,6/7/2023,P07_T0_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T0,12:38:38,0,1.2825,69.8733,1.2529,25.3
18,6/7/2023,P07_T1_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T1,12:52:00,10,1.2525,52.7352,1.1066,25.7
19,6/7/2023,P07_T2_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T2,13:02:00 PM,20,1.3425,51.7709,1.113,26.3
20,6/7/2023,P07_T3_07-06-23,,CER,P07,TRA,2023,6,7,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,22.9,0.15,26,27,T3,13:08:38,30,1.305,44.2249,1.0685,27.1
25,6/7/2023,P01_T0_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T0,11:24:30,0,1.2525,82.7388,1.501,24.5
26,6/7/2023,P01_T1_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T1,11:34:30,10,1.2825,62.4209,1.5836,25.5
27,6/7/2023,P01_T2_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T2,11:44:30,20,1.2975,58.6026,1.4819,26.2
28,6/7/2023,P01_T3_07-06-23,,CER,P01,TRA,2023,6,7,AWD,,1,3,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:7_M:6_Y:2023,7.75,23,0.15,24.5,26,T3,11:54:30,30,1.32,45.4283,1.3928,26.3
29,6/7/2023,P05_T0_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T0,12:01:38,0,1.245,98.6944,1.3165,25.3
30,6/7/2023,P05_T1_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T1,12:11:38,10,1.29,49.1011,1.52,27
31,6/7/2023,P05_T2_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T2,12:21:38,20,1.3425,39.3626,1.4501,27.4
32,6/7/2023,P05_T3_07-06-23,,CER,P05,TRA,2023,6,7,AWD,,2,3,Raul,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:7_M:6_Y:2023,10,23.1,0.15,26,26,T3,12:31:38,30,1.4475,28.2962,1.6536,26.9
33,6/7/2023,P09_T0_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T0,12:38:38,0,1.26,104.1913,1.0176,25.6
34,6/7/2023,P09_T1_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T1,12:52:00,10,1.305,74.4686,1.0112,25.8
35,6/7/2023,P09_T2_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T2,13:02:00 PM,20,1.3875,73.9087,1.0558,26.8
36,6/7/2023,P09_T3_07-06-23,,CER,P09,TRA,2023,6,7,AWD,,3,6,David M,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:7_M:6_Y:2023,7,23.4,0.15,26,27,T3,13:08:38,30,1.3575,42.1409,1.0303,26.9
41,6/7/2023,P03_T0_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T0,11:24:00,0,1.2225,98.3946,2.3023,24.1
42,6/7/2023,P03_T1_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T1,11:34:00,10,1.26,67.8451,1.272,25.3
43,6/7/2023,P03_T2_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T2,11:44:00,20,1.305,59.3746,1.2084,25.9
44,6/7/2023,P03_T3_07-06-23,,CER,P03,TRA,2023,6,7,CON,,1,6,David M,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:7_M:6_Y:2023,7.5,23.3,0.2,24.5,26,T3,11:54:00,30,1.3425,45.764,2.137,26
45,6/7/2023,P06_T0_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T0,12:31:08,0,1.2375,62.666,1.5455,25.4
46,6/7/2023,P06_T1_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T1,12:41:08,10,1.3275,64.1025,1.3674,27
47,6/7/2023,P06_T2_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T2,12:51:08,20,1.425,59.3716,1.5328,27.4
48,6/7/2023,P06_T3_07-06-23,,CER,P06,TRA,2023,6,7,CON,,2,6,David M,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:7_M:6_Y:2023,9,23,0.25,26,26,T3,13:01:08,30,1.4925,44.5467,1.0558,26.8
49,6/15/2023,P01_T0_15-06-23,,CER,P01,TRA,2023,6,15,AWD,,1,4,David M,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:15_M:6_Y:2023,0,23,0.4,27,28,T0,10:25:00,0,1.3725,100.7495,1.2211,31.5
50,6/15/2023,P01_T1_15-06-23,,CER,P01,TRA,2023,6,15,AWD,,1,4,David M,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:15_M:6_Y:2023,0,23,0.4,27,28,T1,10:35:00,10,1.38,76.7578,3.3008,34.6
51,6/15/2023,P01_T2_15-06-23,,CER,P01,TRA,2023,6,15,AWD,,1,4,David M,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:15_M:6_Y:2023,0,23,0.4,27,28,T2,10:45:00,20,1.3425,79.7224,2.6712,34.5
52,6/15/2023,P01_T3_15-06-23,,CER,P01,TRA,2023,6,15,AWD,,1,4,David M,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:15_M:6_Y:2023,0,23,0.4,27,28,T3,10:55:00,30,1.3875,63.6193,1.7299,35.5
53,6/15/2023,P05_T0_15-06-23,,CER,P05,TRA,2023,6,15,AWD,,2,1,David M,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:15_M:6_Y:2023,0,22.7,0.4,27,28,T0,10:31:00,0,1.455,98.7113,1.0558,32.5
54,6/15/2023,P05_T1_15-06-23,,CER,P05,TRA,2023,6,15,AWD,,2,1,David M,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:15_M:6_Y:2023,0,22.7,0.4,27,28,T1,10:41:00,10,1.8225,79.6487,1.4882,34.6
55,6/15/2023,P05_T2_15-06-23,,CER,P05,TRA,2023,6,15,AWD,,2,1,David M,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:15_M:6_Y:2023,0,22.7,0.4,27,28,T2,10:51:00,20,1.89,57.7638,2.0988,35.5
56,6/15/2023,P05_T3_15-06-23,,CER,P05,TRA,2023,6,15,AWD,,2,1,David M,E:CER_P:P05_Tr1:AWD_Tr2:_TRA_2_D:15_M:6_Y:2023,0,22.7,0.4,27,28,T3,11:01:00,30,2.0325,40.291,2.4931,36
57,6/15/2023,P02_T0_15-06-23,,CER,P02,TRA,2023,6,15,MSD,,1,2,Seba,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:15_M:6_Y:2023,14.5,23.4,0.2,27,28,T0,11:11:00,0,1.3575,86.7683,1.1003,31.7
58,6/15/2023,P02_T1_15-06-23,,CER,P02,TRA,2023,6,15,MSD,,1,2,Seba,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:15_M:6_Y:2023,14.5,23.4,0.2,27,28,T1,11:21:00,10,1.47,76.6442,0.9667,33.9
59,6/15/2023,P02_T2_15-06-23,,CER,P02,TRA,2023,6,15,MSD,,1,2,Seba,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:15_M:6_Y:2023,14.5,23.4,0.2,27,28,T2,11:31:00,20,1.695,45.6952,0.9349,34.4
60,6/15/2023,P02_T3_15-06-23,,CER,P02,TRA,2023,6,15,MSD,,1,2,Seba,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:15_M:6_Y:2023,14.5,23.4,0.2,27,28,T3,11:41:00,30,1.92,16.0672,0.9476,34.8
61,6/15/2023,P04_T0_15-06-23,,CER,P04,TRA,2023,6,15,MSD,,2,6,Seba,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:15_M:6_Y:2023,9,23.2,0.25,27,28,T0,10:31:00,0,1.3425,94.6051,0.9604,32.6
62,6/15/2023,P04_T1_15-06-23,,CER,P04,TRA,2023,6,15,MSD,,2,6,Seba,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:15_M:6_Y:2023,9,23.2,0.25,27,28,T1,10:41:00,10,1.4775,57.729,0.9286,33.5
63,6/15/2023,P04_T2_15-06-23,,CER,P04,TRA,2023,6,15,MSD,,2,6,Seba,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:15_M:6_Y:2023,9,23.2,0.25,27,28,T2,10:51:00,20,1.5525,36.1948,0.8968,34
64,6/15/2023,P04_T3_15-06-23,,CER,P04,TRA,2023,6,15,MSD,,2,6,Seba,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:15_M:6_Y:2023,9,23.2,0.25,27,28,T3,11:01:00,30,1.62,24.7488,0.8586,34.6
65,6/15/2023,P03_T0_15-06-23,,CER,P03,TRA,2023,6,15,CON,,1,3,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:15_M:6_Y:2023,6.5,23,0.15,28,30,T0,11:11:00,0,1.4475,89.1362,0.9922,34.6
66,6/15/2023,P03_T1_15-06-23,,CER,P03,TRA,2023,6,15,CON,,1,3,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:15_M:6_Y:2023,6.5,23,0.15,28,30,T1,11:21:00,10,1.53,56.8025,1.0049,36
67,6/15/2023,P03_T2_15-06-23,,CER,P03,TRA,2023,6,15,CON,,1,3,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:15_M:6_Y:2023,6.5,23,0.15,28,30,T2,11:31:00,20,1.65,58.9164,0.9858,37.1
68,6/15/2023,P03_T3_15-06-23,,CER,P03,TRA,2023,6,15,CON,,1,3,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:15_M:6_Y:2023,6.5,23,0.15,28,30,T3,11:41:00,30,1.8,31.4102,0.9731,37
69,6/15/2023,P06_T0_15-06-23,,CER,P06,TRA,2023,6,15,CON,,2,1,Raul,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:15_M:6_Y:2023,6.5,23.8,0.15,28,30,T0,11:16:20,0,1.3125,96.9581,0.9794,33.4
70,6/15/2023,P06_T1_15-06-23,,CER,P06,TRA,2023,6,15,CON,,2,1,Raul,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:15_M:6_Y:2023,6.5,23.8,0.15,28,30,T1,11:26:20,10,1.9275,73.2672,0.9349,34.6
71,6/15/2023,P06_T2_15-06-23,,CER,P06,TRA,2023,6,15,CON,,2,1,Raul,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:15_M:6_Y:2023,6.5,23.8,0.15,28,30,T2,11:36:20,20,2.3625,44.9979,1.0621,35.4
72,6/15/2023,P06_T3_15-06-23,,CER,P06,TRA,2023,6,15,CON,,2,1,Raul,E:CER_P:P06_Tr1:CON_Tr2:_TRA_2_D:15_M:6_Y:2023,6.5,23.8,0.15,28,30,T3,11:46:20,30,2.94,34.5013,0.9604,35.5
73,6/15/2023,P07_T0_15-06-23,,CER,P07,TRA,2023,6,15,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:15_M:6_Y:2023,5.5,23.9,0.15,31,31,T0,12:17:15,0,1.4475,101.1649,0.9158,34
74,6/15/2023,P07_T1_15-06-23,,CER,P07,TRA,2023,6,15,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:15_M:6_Y:2023,5.5,23.9,0.15,31,31,T1,12:27:15,10,1.305,52.1026,1.6981,35.6
75,6/15/2023,P07_T2_15-06-23,,CER,P07,TRA,2023,6,15,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:15_M:6_Y:2023,5.5,23.9,0.15,31,31,T2,12:37:15,20,1.3725,36.7556,1.043,35
76,6/15/2023,P07_T3_15-06-23,,CER,P07,TRA,2023,6,15,MSD,,3,3,Raul,E:CER_P:P07_Tr1:MSD_Tr2:_TRA_3_D:15_M:6_Y:2023,5.5,23.9,0.15,31,31,T3,12:47:15,30,1.395,27.6248,1.59,35.4
81,6/15/2023,P08_T0_15-06-23,,CER,P08,TRA,2023,6,15,CON,,3,2,Seba,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:15_M:6_Y:2023,7,23.6,0.3,28,30,T0,11:11:00,0,1.47,82.1959,1.024,32.8
82,6/15/2023,P08_T1_15-06-23,,CER,P08,TRA,2023,6,15,CON,,3,2,Seba,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:15_M:6_Y:2023,7,23.6,0.3,28,30,T1,11:21:00,10,2.025,61.9169,0.8777,34.7
83,6/15/2023,P08_T2_15-06-23,,CER,P08,TRA,2023,6,15,CON,,3,2,Seba,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:15_M:6_Y:2023,7,23.6,0.3,28,30,T2,11:31:00,20,2.685,49.5803,0.9158,35.7
84,6/15/2023,P08_T3_15-06-23,,CER,P08,TRA,2023,6,15,CON,,3,2,Seba,E:CER_P:P08_Tr1:CON_Tr2:_TRA_3_D:15_M:6_Y:2023,7,23.6,0.3,28,30,T3,11:41:00,30,3.36,29.9887,0.9031,36
89,6/15/2023,P09_T3_15-06-23,,CER,P09,TRA,2023,6,15,AWD,,3,6,Seba,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:15_M:6_Y:2023,0,23.3,0.3,31,31,T3,12:17:15,0,1.35,64.2738,1.6727,33.6
90,6/15/2023,P09_T1_15-06-23,,CER,P09,TRA,2023,6,15,AWD,,3,6,Seba,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:15_M:6_Y:2023,0,23.3,0.3,31,31,T1,12:27:15,10,1.3425,110.3297,1.908,35.6
91,6/15/2023,P09_T2_15-06-23,,CER,P09,TRA,2023,6,15,AWD,,3,6,Seba,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:15_M:6_Y:2023,0,23.3,0.3,31,31,T2,12:37:15,20,1.305,97.0846,1.7744,35.3
92,6/15/2023,P09_T3_15-06-23,,CER,P09,TRA,2023,6,15,AWD,,3,6,Seba,E:CER_P:P09_Tr1:AWD_Tr2:_TRA_3_D:15_M:6_Y:2023,0,23.3,0.3,31,31,T3,12:47:15,30,1.35,64.2738,1.6727,35.1
98,6/20/2023,P01_T1_20-06-23,,CER,P01,TRA,2023,6,20,AWD,,1,1,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:20_M:6_Y:2023,8,24,0.85,27.5,27,T1,10:00:40,10,1.275,68.7326,0.8586,32.2
99,6/20/2023,P01_T2_20-06-23,,CER,P01,TRA,2023,6,20,AWD,,1,1,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:20_M:6_Y:2023,8,24,0.85,27.5,27,T2,10:10:40,20,1.3575,38.8884,0.884,31.4
100,6/20/2023,P01_T3_20-06-23,,CER,P01,TRA,2023,6,20,AWD,,1,1,Raul,E:CER_P:P01_Tr1:AWD_Tr2:_TRA_1_D:20_M:6_Y:2023,8,24,0.85,27.5,27,T3,10:20:40,30,1.32,25.0347,0.884,30.2
101,6/20/2023,P03_T0_20-06-23,,CER,P03,TRA,2023,6,20,CON,,1,4,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:20_M:6_Y:2023,9,24.8,0.4,27.5,27,T0,9:53:13,0,1.38,102.1133,0.8968,31
102,6/20/2023,P03_T1_20-06-23,,CER,P03,TRA,2023,6,20,CON,,1,4,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:20_M:6_Y:2023,9,24.8,0.4,27.5,27,T1,10:03:13,10,1.68,47.5382,0.8522,32.9
103,6/20/2023,P03_T2_20-06-23,,CER,P03,TRA,2023,6,20,CON,,1,4,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:20_M:6_Y:2023,9,24.8,0.4,27.5,27,T2,10:13:13,20,1.98,40.7264,0.8395,32.2
104,6/20/2023,P03_T3_20-06-23,,CER,P03,TRA,2023,6,20,CON,,1,4,Raul,E:CER_P:P03_Tr1:CON_Tr2:_TRA_1_D:20_M:6_Y:2023,9,24.8,0.4,27.5,27,T3,10:23:13,30,2.2275,14.812,0.8077,29.6
106,6/20/2023,P02_T1_20-06-23,,CER,P02,TRA,2023,6,20,MSD,,1,2,LLJ,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:20_M:6_Y:2023,7,,0.9,27.5,,T1,10:00:40,10,1.545,10.648,0.8141,32.6
107,6/20/2023,P02_T2_20-06-23,,CER,P02,TRA,2023,6,20,MSD,,1,2,LLJ,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:20_M:6_Y:2023,7,,0.9,27.5,,T2,10:10:40,20,1.8,36.7008,1.0876,31.6
108,6/20/2023,P02_T3_20-06-23,,CER,P02,TRA,2023,6,20,MSD,,1,2,LLJ,E:CER_P:P02_Tr1:MSD_Tr2:_TRA_1_D:20_M:6_Y:2023,7,,0.9,27.5,,T3,10:20:40,30,2.0625,17.4399,0.954,30.2
109,6/20/2023,P04_T0_20-06-23,,CER,P04,TRA,2023,6,20,MSD,,2,3,LLJ,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:20_M:6_Y:2023,10,,0.7,27.5,,T0,9:53:13,0,1.38,93.1228,0.8586,31.3
110,6/20/2023,P04_T1_20-06-23,,CER,P04,TRA,2023,6,20,MSD,,2,3,LLJ,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:20_M:6_Y:2023,10,,0.7,27.5,,T1,10:03:13,10,1.485,52.1056,0.8395,32.8
111,6/20/2023,P04_T2_20-06-23,,CER,P04,TRA,2023,6,20,MSD,,2,3,LLJ,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:20_M:6_Y:2023,10,,0.7,27.5,,T2,10:13:13,20,1.605,34.7513,0.9286,32
112,6/20/2023,P04_T3_20-06-23,,CER,P04,TRA,2023,6,20,MSD,,2,3,LLJ,E:CER_P:P04_Tr1:MSD_Tr2:_TRA_2_D:20_M:6_Y:2023,10,,0.7,27.5,,T3,10:23:13,30,1.7325,24.9182,0.865,30
