Sampling;Treat;Plot;Taxres_max;Abundance;siteID
1;AWD;P01;Coenagrionidae;4;P01_1_AWD
1;AWD;P01;Hydroglyphus;21;P01_1_AWD
1;AWD;P01;Libellulidae;4;P01_1_AWD
1;AWD;P01;nigrolineata;1;P01_1_AWD
1;AWD;P01;suturalis;1;P01_1_AWD
1;AWD;P05;Coenagrionidae;1;P05_1_AWD
1;AWD;P05;Hydroglyphus;39;P05_1_AWD
1;AWD;P05;Libellulidae;1;P05_1_AWD
1;AWD;P09;Hydroglyphus;40;P09_1_AWD
1;AWD;P09;Libellulidae;2;P09_1_AWD
1;AWD;P09;nigrolineata;4;P09_1_AWD
1;AWD;P10;Coenagrionidae;2;P10_1_AWD
1;AWD;P10;Hydroglyphus;46;P10_1_AWD
1;AWD;P10;Libellulidae;4;P10_1_AWD
1;AWD;P10;suturalis;2;P10_1_AWD
1;AWD;P14;Coenagrionidae;4;P14_1_AWD
1;AWD;P14;Hydroglyphus;9;P14_1_AWD
1;AWD;P14;Libellulidae;2;P14_1_AWD
1;CON;P03;Coenagrionidae;6;P03_1_CON
1;CON;P03;Helochares;1;P03_1_CON
1;CON;P03;Hydroglyphus;31;P03_1_CON
1;CON;P03;Libellulidae;8;P03_1_CON
1;CON;P03;nigrolineata;5;P03_1_CON
1;CON;P06;Coenagrionidae;5;P06_1_CON
1;CON;P06;Hydroglyphus;20;P06_1_CON
1;CON;P06;Libellulidae;16;P06_1_CON
1;CON;P06;nigrolineata;3;P06_1_CON
1;CON;P08;Coenagrionidae;3;P08_1_CON
1;CON;P08;Hydroglyphus;38;P08_1_CON
1;CON;P08;Libellulidae;12;P08_1_CON
1;CON;P08;nigrolineata;6;P08_1_CON
1;CON;P12;Coenagrionidae;7;P12_1_CON
1;CON;P12;Hydroglyphus;48;P12_1_CON
1;CON;P12;Libellulidae;5;P12_1_CON
1;CON;P12;nigrolineata;3;P12_1_CON
1;CON;P15;Coenagrionidae;2;P15_1_CON
1;CON;P15;Hydroglyphus;11;P15_1_CON
1;MSD;P02;Coenagrionidae;2;P02_1_MSD
1;MSD;P02;Hydroglyphus;43;P02_1_MSD
1;MSD;P02;Libellulidae;7;P02_1_MSD
1;MSD;P02;nigrolineata;3;P02_1_MSD
1;MSD;P04;Coenagrionidae;4;P04_1_MSD
1;MSD;P04;Helochares;1;P04_1_MSD
1;MSD;P04;Hydroglyphus;44;P04_1_MSD
1;MSD;P04;Libellulidae;7;P04_1_MSD
1;MSD;P04;nigrolineata;4;P04_1_MSD
1;MSD;P07;Hydroglyphus;37;P07_1_MSD
1;MSD;P07;nigrolineata;3;P07_1_MSD
1;MSD;P11;Coenagrionidae;1;P11_1_MSD
1;MSD;P11;Hydroglyphus;44;P11_1_MSD
1;MSD;P11;Libellulidae;1;P11_1_MSD
1;MSD;P13;Coenagrionidae;6;P13_1_MSD
1;MSD;P13;Hydroglyphus;52;P13_1_MSD
1;MSD;P13;nigrolineata;6;P13_1_MSD
1;MSD;P13;suturalis;1;P13_1_MSD
2;AWD;P01;Helochares;1;P01_2_AWD
2;AWD;P01;Hydroglyphus;2;P01_2_AWD
2;AWD;P01;elegans;1;P01_2_AWD
2;AWD;P01;nigrolineata;1;P01_2_AWD
2;AWD;P01;pygmaea;1;P01_2_AWD
2;AWD;P05;Gerris;1;P05_2_AWD
2;AWD;P05;Hydaticus;0;P05_2_AWD
2;AWD;P05;Hydroglyphus;2;P05_2_AWD
2;AWD;P05;elegans;20;P05_2_AWD
2;AWD;P05;pygmaea;11;P05_2_AWD
2;AWD;P09;Hydroglyphus;3;P09_2_AWD
2;AWD;P09;nigrolineata;1;P09_2_AWD
2;AWD;P09;pygmaea;1;P09_2_AWD
2;AWD;P10;Helochares;2;P10_2_AWD
2;AWD;P10;Hydroglyphus;4;P10_2_AWD
2;AWD;P10;elegans;2;P10_2_AWD
2;AWD;P10;pygmaea;5;P10_2_AWD
2;AWD;P14;Hydaticus;2;P14_2_AWD
2;AWD;P14;Hydroglyphus;3;P14_2_AWD
2;AWD;P14;elegans;4;P14_2_AWD
2;AWD;P14;nigrolineata;5;P14_2_AWD
2;AWD;P14;pygmaea;2;P14_2_AWD
2;AWD;P14;sardeus;1;P14_2_AWD
2;CON;P03;Coenagrion;4;P03_2_CON
2;CON;P03;Gerris;4;P03_2_CON
2;CON;P03;Helochares;6;P03_2_CON
2;CON;P03;Hydaticus;1;P03_2_CON
2;CON;P03;Hydroglyphus;1;P03_2_CON
2;CON;P03;elegans;58;P03_2_CON
2;CON;P03;fonscolombii;3;P03_2_CON
2;CON;P03;graellsii;3;P03_2_CON
2;CON;P03;lefebvrii;1;P03_2_CON
2;CON;P03;nigrolineata;7;P03_2_CON
2;CON;P03;pygmaea;44;P03_2_CON
2;CON;P06;Coenagrion;1;P06_2_CON
2;CON;P06;Gerris;12;P06_2_CON
2;CON;P06;Helochares;3;P06_2_CON
2;CON;P06;Hydroglyphus;18;P06_2_CON
2;CON;P06;elegans;46;P06_2_CON
2;CON;P06;fonscolombii;3;P06_2_CON
2;CON;P06;graellsii;2;P06_2_CON
2;CON;P06;lefebvrii;0;P06_2_CON
2;CON;P06;nigrolineata;4;P06_2_CON
2;CON;P06;pygmaea;26;P06_2_CON
2;CON;P06;sardeus;7;P06_2_CON
2;CON;P08;Coenagrion;0;P08_2_CON
2;CON;P08;Gerris;10;P08_2_CON
2;CON;P08;Helochares;4;P08_2_CON
2;CON;P08;Hydroglyphus;2;P08_2_CON
2;CON;P08;elegans;18;P08_2_CON
2;CON;P08;fonscolombii;6;P08_2_CON
2;CON;P08;graellsii;2;P08_2_CON
2;CON;P08;lefebvrii;1;P08_2_CON
2;CON;P08;nigrolineata;2;P08_2_CON
2;CON;P08;pygmaea;13;P08_2_CON
2;CON;P08;sardeus;4;P08_2_CON
2;CON;P08;vittigera;13;P08_2_CON
2;CON;P12;Coenagrion;1;P12_2_CON
2;CON;P12;Gerris;5;P12_2_CON
2;CON;P12;Helochares;1;P12_2_CON
2;CON;P12;Hydroglyphus;6;P12_2_CON
2;CON;P12;elegans;24;P12_2_CON
2;CON;P12;fonscolombii;1;P12_2_CON
2;CON;P12;graellsii;2;P12_2_CON
2;CON;P12;nigrolineata;5;P12_2_CON
2;CON;P12;pygmaea;23;P12_2_CON
2;CON;P12;sardeus;12;P12_2_CON
2;CON;P15;Coenagrion;0;P15_2_CON
2;CON;P15;Gerris;2;P15_2_CON
2;CON;P15;elegans;9;P15_2_CON
2;CON;P15;fonscolombii;1;P15_2_CON
2;CON;P15;graellsii;0;P15_2_CON
2;CON;P15;lefebvrii;0;P15_2_CON
2;CON;P15;nigrolineata;7;P15_2_CON
2;CON;P15;pygmaea;57;P15_2_CON
2;CON;P15;sardeus;2;P15_2_CON
2;CON;P15;vittigera;4;P15_2_CON
2;MSD;P02;Coenagrion;2;P02_2_MSD
2;MSD;P02;Gerris;1;P02_2_MSD
2;MSD;P02;Helochares;1;P02_2_MSD
2;MSD;P02;elegans;6;P02_2_MSD
2;MSD;P02;pygmaea;24;P02_2_MSD
2;MSD;P02;sardeus;2;P02_2_MSD
2;MSD;P04;Coenagrion;1;P04_2_MSD
2;MSD;P04;Hydaticus;1;P04_2_MSD
2;MSD;P04;elegans;1;P04_2_MSD
2;MSD;P04;pygmaea;9;P04_2_MSD
2;MSD;P07;Coenagrion;1;P07_2_MSD
2;MSD;P07;Gerris;1;P07_2_MSD
2;MSD;P07;Helochares;2;P07_2_MSD
2;MSD;P07;elegans;1;P07_2_MSD
2;MSD;P07;nigrolineata;1;P07_2_MSD
2;MSD;P07;pygmaea;16;P07_2_MSD
2;MSD;P07;vittigera;3;P07_2_MSD
2;MSD;P11;Gerris;1;P11_2_MSD
2;MSD;P11;pygmaea;4;P11_2_MSD
2;MSD;P11;vittigera;3;P11_2_MSD
2;MSD;P13;Hydaticus;1;P13_2_MSD
2;MSD;P13;pygmaea;4;P13_2_MSD
2;MSD;P13;vittigera;1;P13_2_MSD
3;AWD;P01;pygmaea;5;P01_3_AWD
3;AWD;P01;sardeus;1;P01_3_AWD
3;AWD;P05;Enochrus;1;P05_3_AWD
3;AWD;P05;elegans;2;P05_3_AWD
3;AWD;P05;pygmaea;3;P05_3_AWD
3;AWD;P09;Enochrus;2;P09_3_AWD
3;AWD;P09;Helochares;1;P09_3_AWD
3;AWD;P09;Hydroglyphus;2;P09_3_AWD
3;AWD;P09;elegans;3;P09_3_AWD
3;AWD;P09;fonscolombii;2;P09_3_AWD
3;AWD;P09;pygmaea;2;P09_3_AWD
3;AWD;P09;sardeus;1;P09_3_AWD
3;AWD;P09;vittigera;1;P09_3_AWD
3;AWD;P10;Enochrus;3;P10_3_AWD
3;AWD;P10;Helochares;3;P10_3_AWD
3;AWD;P10;Hydroglyphus;1;P10_3_AWD
3;AWD;P10;elegans;1;P10_3_AWD
3;AWD;P10;fonscolombii;1;P10_3_AWD
3;AWD;P10;pygmaea;12;P10_3_AWD
3;AWD;P10;sardeus;1;P10_3_AWD
3;AWD;P14;Enochrus;1;P14_3_AWD
3;AWD;P14;Hydroglyphus;2;P14_3_AWD
3;AWD;P14;elegans;1;P14_3_AWD
3;AWD;P14;pygmaea;5;P14_3_AWD
3;CON;P03;Gerris;1;P03_3_CON
3;CON;P03;Hydroglyphus;1;P03_3_CON
3;CON;P03;elegans;36;P03_3_CON
3;CON;P03;graellsii;10;P03_3_CON
3;CON;P03;nigrolineata;1;P03_3_CON
3;CON;P03;pygmaea;22;P03_3_CON
3;CON;P03;sardeus;2;P03_3_CON
3;CON;P06;Enochrus;1;P06_3_CON
3;CON;P06;elegans;39;P06_3_CON
3;CON;P06;fonscolombii;1;P06_3_CON
3;CON;P06;graellsii;11;P06_3_CON
3;CON;P06;nigrolineata;8;P06_3_CON
3;CON;P06;pygmaea;27;P06_3_CON
3;CON;P06;sardeus;3;P06_3_CON
3;CON;P06;vittigera;1;P06_3_CON
3;CON;P08;elegans;52;P08_3_CON
3;CON;P08;fonscolombii;3;P08_3_CON
3;CON;P08;graellsii;9;P08_3_CON
3;CON;P08;pygmaea;7;P08_3_CON
3;CON;P08;sardeus;3;P08_3_CON
3;CON;P08;vittigera;1;P08_3_CON
3;CON;P12;Gerris;3;P12_3_CON
3;CON;P12;elegans;31;P12_3_CON
3;CON;P12;graellsii;4;P12_3_CON
3;CON;P12;pygmaea;8;P12_3_CON
3;CON;P12;sardeus;4;P12_3_CON
3;CON;P15;Gerris;2;P15_3_CON
3;CON;P15;elegans;20;P15_3_CON
3;CON;P15;graellsii;3;P15_3_CON
3;CON;P15;pygmaea;8;P15_3_CON
3;CON;P15;sardeus;4;P15_3_CON
3;MSD;P02;Helochares;1;P02_3_MSD
3;MSD;P02;elegans;26;P02_3_MSD
3;MSD;P02;nigrolineata;6;P02_3_MSD
3;MSD;P02;pygmaea;5;P02_3_MSD
3;MSD;P02;sardeus;10;P02_3_MSD
3;MSD;P04;Enochrus;1;P04_3_MSD
3;MSD;P04;elegans;42;P04_3_MSD
3;MSD;P04;nigrolineata;9;P04_3_MSD
3;MSD;P04;pygmaea;6;P04_3_MSD
3;MSD;P04;sardeus;8;P04_3_MSD
3;MSD;P07;Helochares;1;P07_3_MSD
3;MSD;P07;elegans;33;P07_3_MSD
3;MSD;P07;nigrolineata;1;P07_3_MSD
3;MSD;P07;pygmaea;17;P07_3_MSD
3;MSD;P07;sardeus;12;P07_3_MSD
3;MSD;P07;vittigera;1;P07_3_MSD
3;MSD;P11;Hydaticus;1;P11_3_MSD
3;MSD;P11;nigrolineata;4;P11_3_MSD
3;MSD;P11;pygmaea;28;P11_3_MSD
3;MSD;P11;sardeus;1;P11_3_MSD
3;MSD;P11;vittigera;1;P11_3_MSD
3;MSD;P13;Gerris;1;P13_3_MSD
3;MSD;P13;elegans;44;P13_3_MSD
3;MSD;P13;nigrolineata;5;P13_3_MSD
3;MSD;P13;pygmaea;9;P13_3_MSD
3;MSD;P13;sardeus;5;P13_3_MSD
4;AWD;P01;elegans;4;P01_4_AWD
4;AWD;P01;graellsii;4;P01_4_AWD
4;AWD;P01;pygmaea;29;P01_4_AWD
4;AWD;P01;sardeus;8;P01_4_AWD
4;AWD;P05;elegans;8;P05_4_AWD
4;AWD;P05;graellsii;2;P05_4_AWD
4;AWD;P05;nigrolineata;2;P05_4_AWD
4;AWD;P05;pygmaea;35;P05_4_AWD
4;AWD;P05;sardeus;4;P05_4_AWD
4;AWD;P09;Hydrophilidae;1;P09_4_AWD
4;AWD;P09;elegans;17;P09_4_AWD
4;AWD;P09;graellsii;12;P09_4_AWD
4;AWD;P09;pygmaea;53;P09_4_AWD
4;AWD;P09;vittigera;2;P09_4_AWD
4;AWD;P10;Hydrophilidae;1;P10_4_AWD
4;AWD;P10;elegans;3;P10_4_AWD
4;AWD;P10;graellsii;4;P10_4_AWD
4;AWD;P10;pygmaea;13;P10_4_AWD
4;AWD;P10;sardeus;3;P10_4_AWD
4;AWD;P14;elegans;4;P14_4_AWD
4;AWD;P14;graellsii;2;P14_4_AWD
4;AWD;P14;nigrolineata;4;P14_4_AWD
4;AWD;P14;pygmaea;17;P14_4_AWD
4;CON;P03;Coenagrion;1;P03_4_CON
4;CON;P03;elegans;3;P03_4_CON
4;CON;P03;graellsii;2;P03_4_CON
4;CON;P03;pygmaea;11;P03_4_CON
4;CON;P03;sardeus;6;P03_4_CON
4;CON;P06;Coenagrion;0;P06_4_CON
4;CON;P06;elegans;8;P06_4_CON
4;CON;P06;graellsii;2;P06_4_CON
4;CON;P06;pygmaea;16;P06_4_CON
4;CON;P06;sardeus;4;P06_4_CON
4;CON;P08;Coenagrion;0;P08_4_CON
4;CON;P08;elegans;6;P08_4_CON
4;CON;P08;graellsii;1;P08_4_CON
4;CON;P08;pygmaea;17;P08_4_CON
4;CON;P08;sardeus;7;P08_4_CON
4;CON;P08;vittigera;1;P08_4_CON
4;CON;P12;Coenagrion;0;P12_4_CON
4;CON;P12;elegans;4;P12_4_CON
4;CON;P12;graellsii;3;P12_4_CON
4;CON;P12;pygmaea;14;P12_4_CON
4;CON;P12;sardeus;11;P12_4_CON
4;CON;P12;vittigera;1;P12_4_CON
4;CON;P15;Coenagrion;0;P15_4_CON
4;CON;P15;elegans;12;P15_4_CON
4;CON;P15;graellsii;5;P15_4_CON
4;CON;P15;nigrolineata;1;P15_4_CON
4;CON;P15;pygmaea;16;P15_4_CON
4;CON;P15;sardeus;4;P15_4_CON
4;MSD;P02;elegans;4;P02_4_MSD
4;MSD;P02;graellsii;1;P02_4_MSD
4;MSD;P02;pygmaea;6;P02_4_MSD
4;MSD;P02;sardeus;3;P02_4_MSD
4;MSD;P04;elegans;4;P04_4_MSD
4;MSD;P04;graellsii;1;P04_4_MSD
4;MSD;P04;pygmaea;11;P04_4_MSD
4;MSD;P04;sardeus;2;P04_4_MSD
4;MSD;P07;elegans;9;P07_4_MSD
4;MSD;P07;graellsii;2;P07_4_MSD
4;MSD;P07;pygmaea;19;P07_4_MSD
4;MSD;P07;sardeus;4;P07_4_MSD
4;MSD;P11;elegans;4;P11_4_MSD
4;MSD;P11;graellsii;2;P11_4_MSD
4;MSD;P11;pygmaea;25;P11_4_MSD
4;MSD;P11;sardeus;1;P11_4_MSD
4;MSD;P11;vittigera;3;P11_4_MSD
4;MSD;P13;Hydrophilidae;1;P13_4_MSD
4;MSD;P13;elegans;4;P13_4_MSD
4;MSD;P13;graellsii;0;P13_4_MSD
4;MSD;P13;pygmaea;21;P13_4_MSD
4;MSD;P13;vittigera;1;P13_4_MSD
